 iteration 1
Iter = 	820	 relative error = 	1.0411	 diff_step = 	1007.929	 diff = 	5001004.4024	 diff1 = 	4808386.4157	 diff2 = 	-75.837	 diff3 = 	-0.50923	 diff4 = 	-1.472	 diff5 = 	122954.5449	 diff6 = 	9400.2632	 diff7 = 	60340.9968	 diff8 = 	69741.26
Iter = 	840	 relative error = 	1.0411	 diff_step = 	948.1334	 diff = 	5000998.9223	 diff1 = 	4808377.1445	 diff2 = 	-75.8058	 diff3 = 	-0.50898	 diff4 = 	-1.4718	 diff5 = 	122974.7766	 diff6 = 	9402.9045	 diff7 = 	60321.8833	 diff8 = 	69724.7878
Iter = 	860	 relative error = 	1.0411	 diff_step = 	894.7919	 diff = 	5000993.9669	 diff1 = 	4808368.6573	 diff2 = 	-75.778	 diff3 = 	-0.50876	 diff4 = 	-1.4716	 diff5 = 	122992.8734	 diff6 = 	9405.2959	 diff7 = 	60304.8986	 diff8 = 	69710.1946
Iter = 	880	 relative error = 	1.0411	 diff_step = 	845.54	 diff = 	5000989.5842	 diff1 = 	4808360.9903	 diff2 = 	-75.7531	 diff3 = 	-0.50856	 diff4 = 	-1.4714	 diff5 = 	123009.0757	 diff6 = 	9407.4595	 diff7 = 	60289.7917	 diff8 = 	69697.2512
Iter = 	900	 relative error = 	1.0411	 diff_step = 	798.5781	 diff = 	5000985.7464	 diff1 = 	4808354.1024	 diff2 = 	-75.7308	 diff3 = 	-0.50839	 diff4 = 	-1.4712	 diff5 = 	123023.5989	 diff6 = 	9409.4139	 diff7 = 	60276.3415	 diff8 = 	69685.7555
Iter = 	920	 relative error = 	1.0411	 diff_step = 	754.3902	 diff = 	5000982.3335	 diff1 = 	4808347.8574	 diff2 = 	-75.7108	 diff3 = 	-0.50823	 diff4 = 	-1.4711	 diff5 = 	123036.6313	 diff6 = 	9411.178	 diff7 = 	60264.357	 diff8 = 	69675.5349
Iter = 	940	 relative error = 	1.0411	 diff_step = 	714.0497	 diff = 	5000979.2428	 diff1 = 	4808342.1353	 diff2 = 	-75.6929	 diff3 = 	-0.50809	 diff4 = 	-1.4709	 diff5 = 	123048.3355	 diff6 = 	9412.7703	 diff7 = 	60253.6737	 diff8 = 	69666.4439
Iter = 	960	 relative error = 	1.0411	 diff_step = 	677.7771	 diff = 	5000976.4091	 diff1 = 	4808336.8546	 diff2 = 	-75.6769	 diff3 = 	-0.50796	 diff4 = 	-1.4708	 diff5 = 	123058.8536	 diff6 = 	9414.2085	 diff7 = 	60244.148	 diff8 = 	69658.3565
Iter = 	980	 relative error = 	1.0411	 diff_step = 	645.3146	 diff = 	5000973.7844	 diff1 = 	4808331.9511	 diff2 = 	-75.6625	 diff3 = 	-0.50785	 diff4 = 	-1.4707	 diff5 = 	123068.3123	 diff6 = 	9415.5087	 diff7 = 	60235.6533	 diff8 = 	69651.1621
Iter = 	1000	 relative error = 	1.0411	 diff_step = 	616.2233	 diff = 	5000971.3351	 diff1 = 	4808327.3759	 diff2 = 	-75.6496	 diff3 = 	-0.50775	 diff4 = 	-1.4706	 diff5 = 	123076.8246	 diff6 = 	9416.6852	 diff7 = 	60228.0774	 diff8 = 	69644.7626
